ticker,name,market,locale,active,source_feed
I:BUK350P,Cboe UK 350,indices,us,True,CboeGlobalIndicesCGI
I:BUKAC,Cboe UK All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BUKACN,Cboe UK All Companies - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKBISN,Cboe UK Banking and Investment Services - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKBISP,Cboe UK Banking and Investment Services,indices,us,True,CboeGlobalIndicesCGI
I:BUKBUS,Cboe UK Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKBUSN,Cboe UK Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCNC,Cboe UK Consumer Non-Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCNCN,Cboe UK Consumer Non Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONC,Cboe UK Consumer Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONCN,Cboe UK Consumer Cyclicals Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONS,Cboe UK Consumer Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONSN,Cboe UK Consumer Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKENGY,Cboe UK Energy Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKENGYN,Cboe UK Energy Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKFIN,Cboe UK Finance Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKFINN,Cboe UK Finance Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKHI50N,Cboe Brexit High 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKHI50P,Cboe Brexit High 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKHLTH,Cboe UK Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKHLTHN,Cboe UK Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKIND,Cboe UK Industrials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKINDN,Cboe UK Industrials Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKLO50N,Cboe Brexit Low 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKLO50P,Cboe Brexit Low 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKMINN,Cboe UK Mining and Mineral Products - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKMINP,Cboe UK Mining and Mineral Products,indices,us,True,CboeGlobalIndicesCGI
I:BUKNEM,Cboe UK Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKNEMN,Cboe UK Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKSC,Cboe UK Small Companies,indices,us,True,CboeGlobalIndicesCGI
I:BUKSCN,Cboe UK Small Companies - net,indices,us,True,CboeGlobalIndicesCGI
